name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,25,1,1,0.75,36.187559
asd,G,C,110,3,1,130,5,5,6,280,0,3,1,0.67,40.105965
fgr,G,C,100,,1,15,0,8,8,135,25,3,1,0.67,29.924285
fsdf,G,C,0,,1,260,2,7,5,320,25,3,1,0.75,40.69232
ef,G,C,0,,1,140,0,8,0,330,25,3,1,1,59.642837
sdf,G,C,0,,1,200,2,14,8,-1,25,3,1,1,30.450843
sdf,G,C,0,,1,180,0,10.5,10,70,25,1,1,1,37.840594
g,G,C,0,,1,125,0,11,14,30,25,2,1,1,41.50354
ss,G,C,0,5,1,210,1,18,8,100,25,,1.33,1,60.756112
sdfw,Q,C,0,7,1,200,1,15,,120,25,1,1,0.75,63.005645
df,Q,C,110,2,1,210,0,13,5,40,25,3,1,1,49.511874
wef,Q,C,50,5,1,220,4,12,,55,0,2,1,0.67,28.592785
wef,Q,C,100,6,1,290,1,17,1,,25,,1,1,46.658844
we,Q,C,100,2,1,210,3,13,,35,25,2,1,0.75,39.106174
qw,Q,C,10,0,1,140,3,13,7,,25,1,1,0.5,27.753301
erer,Q,H,0,2,1,180,2,12,13,110,25,1,1,0.67,49.787445
rrt,Q,H,0,2,1,280,0,22,,,25,,1,1,68.402973
tgv,Q,H,0,1,1,,3,21,2,25,25,1,0.83,1,33.983679
sdfs,Q,H,0,2,1,,3,13,,115,25,2,1,1,59.425505
bvc,Q,H,0,1,1,,1.5,12,,170,25,3,1,0.5,93.704912
sddf,Q,H,0,1,2,,6,10,,170,25,3,1,0.67,34.384843
asda,Q,H,0,,2,,1,21,3,160,25,3,1,0.75,29.509541
gsdfgh,Q,H,0,1,2,,0,21,12,90,25,3,1,0.5,33.174094
a acsc,K,H,0,1,2,,1,17,3,40,25,2,1,0.5,37.038562
asderer,K,H,0,1,2,,2,15,3,130,25,1,1.5,1.13,49.120253
dsghgdhgfhf,K,H,20,,2,,2.7,15,8,90,25,,1,1.25,53.313813
mbmn,K,H,100,,2,,5,21,6,120,25,,1,0.75,18.042851
yyy,K,C,100,,2,,2.5,18,8,260,100,,,0.5,40.105965
ffff,K,C,100,1,2,,2,13.5,5,45,100,,1,1,29.924285
eeee,K,C,100,1,2,210,0,11,0,15,100,2,,1,40.69232
ddd,K,C,100,1,2,140,2.5,20,8,50,25,3,1,1,59.642837
qqqq,K,C,100,1,2,180,5,13,10,,25,1,1,1,30.450843
gggggg,G,C,100,1,2,280,5,10,2,20,,3,1,1,37.840594
